,n_spans,n_spans_over90,text_matches,any_matches
0,4,3,['field study'],True
1,25,22,['field study'],True
2,99,7,"['fieldwork', 'field study', 'study site']",True
3,6,1,['field study'],True
4,14,3,['field study'],True
5,11,3,['field study'],True
6,6,2,['field study'],True
7,7,1,"['field study', 'study site']",True
8,54,39,['field study'],True
9,60,28,['field study'],True
10,81,64,['field study'],True
11,6,4,['field study'],True
12,20,3,['field study'],True
13,53,23,"['field study', 'study site']",True
14,14,0,['field study'],True
15,38,17,"['field study', 'study site']",True
16,4,1,"['fieldwork', 'field study']",True
17,316,188,"['field study', 'study site']",True
18,0,0,['field study'],True
19,18,2,['field study'],True
20,13,5,['field study'],True
21,11,9,['field study'],True
22,10,1,['field study'],True
23,94,48,['field study'],True
24,10,1,"['field study', 'study site']",True
25,95,20,"['fieldwork', 'field study']",True
26,1,0,['field study'],True
27,28,19,['field study'],True
28,33,16,['field study'],True
29,7,2,['field study'],True
30,60,8,['field study'],True
31,0,0,['field study'],True
32,103,19,['field study'],True
33,15,9,['field study'],True
34,10,3,['field study'],True
35,13,3,['field study'],True
36,61,9,['field study'],True
37,149,59,['field study'],True
38,35,2,"['field work', 'field study', 'study site']",True
39,24,13,"['field work', 'field study']",True
40,35,13,['field study'],True
41,38,16,['field study'],True
42,8,3,"['field study', 'study site']",True
43,15,9,['field study'],True
44,2,1,['field study'],True
45,10,6,['field study'],True
46,22,4,['field study'],True
47,31,16,['field study'],True
48,91,58,['field study'],True
49,10,6,['field study'],True
50,12,11,"['field work', 'field study']",True
51,13,6,['field study'],True
52,14,1,['field study'],True
53,33,18,['field study'],True
54,21,16,['field study'],True
55,19,4,['field study'],True
56,18,7,['field study'],True
57,4,0,['field study'],True
58,47,35,"['field study', 'study site']",True
59,4,1,['field study'],True
60,6,4,['field study'],True
61,36,25,['field study'],True
62,36,1,['field study'],True
63,9,2,"['field study', 'study site']",True
64,1,1,['field study'],True
65,7,4,['field study'],True
66,31,10,['field study'],True
67,24,1,"['field study', 'study site']",True
68,7,2,['field study'],True
69,32,9,['field study'],True
70,20,4,['field study'],True
71,145,80,['field study'],True
72,3,1,['field study'],True
73,11,2,"['field study', 'study site']",True
74,9,5,['field study'],True
75,11,2,['field study'],True
76,17,5,['field study'],True
77,14,3,['field study'],True
78,37,17,"['field study', 'study site']",True
79,33,4,['field study'],True
80,7,1,"['field study', 'study site']",True
81,30,7,['field study'],True
82,63,25,"['fieldwork', 'field study', 'study site']",True
83,20,5,['field study'],True
84,17,9,['field study'],True
85,8,1,"['field study', 'study site']",True
86,78,34,['field study'],True
87,10,5,['field study'],True
88,30,12,['field study'],True
89,7,1,['field study'],True
90,7,6,"['field study', 'study site']",True
91,12,2,"['field work', 'field study']",True
92,16,6,['field study'],True
93,31,1,['field study'],True
94,37,23,"['field study', 'study site']",True
95,2,1,['field study'],True
96,15,0,['field study'],True
97,14,9,['field study'],True
98,49,31,"['field study', 'study site']",True
99,32,20,"['field study', 'study site']",True
100,6,2,"['field study', 'study site']",True
101,8,0,"['field study', 'study site']",True
102,7,3,['field study'],True
103,29,9,['field study'],True
104,7,0,['field study'],True
105,3,0,['field study'],True
106,20,2,['field study'],True
107,6,3,['field study'],True
108,7,1,['field study'],True
109,184,54,['field study'],True
110,11,9,['field study'],True
111,42,6,"['field study', 'study site']",True
112,4,0,['field study'],True
113,26,8,"['field work', 'study site']",True
114,17,13,['field work'],True
115,25,13,['field work'],True
116,137,35,['field work'],True
117,32,15,['field work'],True
118,95,40,"['field work', 'study site']",True
119,16,12,['field work'],True
120,38,30,"['field work', 'study site']",True
121,4,1,['field work'],True
122,64,21,['field work'],True
123,34,24,['field work'],True
124,38,23,['field work'],True
125,65,6,['field work'],True
126,50,23,['field work'],True
127,72,6,['field work'],True
128,11,4,['field work'],True
129,26,15,"['field work', 'study site']",True
130,28,3,['field work'],True
131,10,1,['field work'],True
132,3,1,['field work'],True
133,45,16,['field work'],True
134,354,177,['field work'],True
135,7,2,"['field work', 'fieldwork']",True
136,594,167,['field work'],True
137,15,14,"['field work', 'study site']",True
138,56,20,"['field work', 'fieldwork']",True
