,id,any_matches,id_types
0,3598340,True,pmid
1,3598340,True,pmc
2,3598340,True,publisher-id
3,3598340,True,doi
4,5934950,False,pmid
5,5934950,False,pmc
6,5934950,False,publisher-id
7,5934950,False,doi
8,4328319,False,pmc
9,4328319,False,publisher-id
10,4328319,False,doi
11,2964116,False,pmid
12,2964116,False,pmc
13,2964116,False,pii
14,2964116,False,doi
15,3371935,False,pmid
16,3371935,False,pmc
17,3606187,False,pmc
18,3606187,False,publisher-id
19,3606187,False,doi
20,6250829,False,pmid
21,6250829,False,pmc
22,6250829,False,doi
23,4468340,False,pmid
24,4468340,False,pmc
25,5197960,False,pmid
26,5197960,False,pmc
27,5197960,False,pmc-scan
28,5110345,False,pmid
29,5110345,False,pmc
30,5110345,False,doi
31,5110345,False,publisher-id
32,6220235,False,pmid
33,6220235,False,pmc
34,6220235,False,publisher-id
35,6220235,False,doi
36,5666466,False,pmid
37,5666466,False,pmc
38,5666466,False,doi
39,5666466,False,publisher-id
40,2874337,False,pmid
41,2874337,False,pmc
42,2874337,False,publisher-id
43,2954862,False,pmid
44,2954862,False,pmc
45,2954862,False,publisher-id
46,2954862,False,doi
47,3833192,False,pmid
48,3833192,False,pmc
49,3833192,False,publisher-id
50,3833192,False,doi
51,5349540,False,pmid
52,5349540,False,pmc
53,5349540,False,pii
54,5349540,False,doi
55,5117085,False,pmid
56,5117085,False,pmc
57,5117085,False,publisher-id
58,5117085,False,doi
59,4934116,False,pmid
60,4934116,False,pmc
61,4934116,False,publisher-id
62,4934116,False,doi
63,3273211,False,pmc
64,3273211,False,publisher-id
65,3273211,False,doi
66,2020499,False,pmid
67,2020499,False,pmc
68,2020499,False,doi
69,2020499,False,publisher-id
70,3076305,False,pmid
71,3076305,False,pmc
72,3076305,False,publisher-id
73,3076305,False,doi
74,5260390,False,pmc
75,5260390,False,pmc-scan
76,2736999,False,pmid
77,2736999,False,pmc
78,2736999,False,publisher-id
79,2736999,False,doi
80,1986783,False,pmid
81,1986783,False,pmc
82,1986783,False,doi
83,4994148,False,pmid
84,4994148,False,pmc
85,4994148,False,publisher-id
86,4994148,False,doi
87,5259684,False,pmid
88,5259684,False,pmc
89,5259684,False,doi
90,3317070,False,pmid
91,3317070,False,pmc
92,3317070,False,doi
93,3271253,False,pmid
94,3271253,False,pmc
95,3271253,False,doi
96,2829493,False,pmid
97,2829493,False,pmc
98,2829493,False,publisher-id
99,2829493,False,doi
100,4867163,False,pmid
101,4867163,False,pmc
102,4867163,False,doi
103,4468327,False,pmid
104,4468327,False,pmc
105,6392415,False,pmid
106,6392415,False,pmc
107,6392415,False,doi
108,6392415,False,publisher-id
109,6333819,False,pmid
110,6333819,False,pmc
111,6333819,False,publisher-id
112,6333819,False,doi
113,5218665,False,pmid
114,5218665,False,pmc
115,5218665,False,pmc-scan
116,6362006,False,pmid
117,6362006,False,pmc
118,6362006,False,publisher-id
119,6362006,False,doi
120,3929705,False,pmid
121,3929705,False,pmc
122,3929705,False,publisher-id
123,3929705,False,doi
124,5268247,False,pmc
125,5268247,False,pmc-scan
126,3929995,False,pmid
127,3929995,False,pmc
128,3929995,False,doi
129,6004594,False,pmid
130,6004594,False,pmc
131,6004594,False,publisher-id
132,6316841,False,pmid
133,6316841,False,pmc
134,6316841,False,doi
135,6316841,False,publisher-id
136,3903371,False,pmid
137,3903371,False,pmc
138,3903371,False,doi
139,3903371,False,publisher-id
140,5199958,False,pmid
141,5199958,False,pmc
142,5199958,False,pmc-scan
143,2932693,False,pmid
144,2932693,False,pmc
145,2932693,False,publisher-id
146,2932693,False,doi
147,5911839,False,pmid
148,5911839,False,pmc
149,5911839,False,pmc-scan
150,5472611,False,pmid
151,5472611,False,pmc
152,5472611,False,publisher-id
153,5472611,False,doi
154,6102329,False,pmid
155,6102329,False,pmc
156,6102329,False,doi
157,6240963,False,pmid
158,6240963,False,pmc
159,6240963,False,publisher-id
160,6240963,False,doi
161,1828738,False,pmid
162,1828738,False,pmc
163,1828738,False,publisher-id
164,1828738,False,doi
165,4766080,False,pmid
166,4766080,False,pmc
167,4766080,False,publisher-id
168,4600711,False,pmid
169,4600711,False,pmc
170,4600711,False,publisher-id
171,4600711,False,doi
172,4632314,False,pmid
173,4632314,False,pmc
174,4632314,False,pii
175,4632314,False,doi
176,3920809,False,pmid
177,3920809,False,pmc
178,3920809,False,doi
179,6028737,False,pmid
180,6028737,False,pmc
181,6028737,False,doi
182,5233012,False,pmid
183,5233012,False,pmc
184,5233012,False,pmc-scan
185,3771895,False,pmid
186,3771895,False,pmc
187,3771895,False,publisher-id
188,3771895,False,doi
189,5193649,False,pmid
190,5193649,False,pmc
191,5193649,False,pmc-scan
192,4506785,False,pmid
193,4506785,False,pmc
194,4506785,False,doi
195,3322909,False,pmc
196,3322909,False,publisher-id
197,3322909,False,doi
198,4773933,True,pmid
199,4773933,True,pmc
200,4773933,True,publisher-id
201,4773933,True,doi
202,5381378,False,pmid
203,5381378,False,pmc
204,5381378,False,pii
205,5381378,False,doi
206,5332920,False,pmid
207,5332920,False,pmc
208,5332920,False,doi
209,5332920,False,publisher-id
210,5106554,False,pmid
211,5106554,False,pmc
212,5106554,False,publisher-id
213,5106554,False,doi
214,6399451,False,pmid
215,6399451,False,pmc
216,6399451,False,doi
217,3996680,False,pmid
218,3996680,False,pmc
219,3996680,False,doi
220,3996680,False,manuscript
221,3386215,False,pmid
222,3386215,False,pmc
223,3386215,False,publisher-id
224,3386215,False,doi
225,3060809,False,pmid
226,3060809,False,pmc
227,3060809,False,publisher-id
228,3060809,False,doi
229,6020797,False,pmid
230,6020797,False,pmc
231,6020797,False,publisher-id
232,6020797,False,doi
233,6169096,True,pmid
234,6169096,True,pmc
235,6169096,True,publisher-id
236,6169096,True,doi
237,2983705,False,pmid
238,2983705,False,pmc
239,2983705,False,publisher-id
240,2983705,False,doi
241,2983705,False,coden
242,2983705,False,pii
243,3019363,False,pmid
244,3019363,False,pmc
245,3019363,False,publisher-id
246,3019363,False,doi
247,6165733,False,pmid
248,6165733,False,pmc
249,6165733,False,doi
250,6165733,False,publisher-id
251,4977594,False,pmid
252,4977594,False,pmc
253,4977594,False,publisher-id
254,4977594,False,doi
255,2743658,False,pmid
256,2743658,False,pmc
257,2743658,False,publisher-id
258,2743658,False,doi
259,546282,False,pmid
260,546282,False,pmc
261,546282,False,publisher-id
262,546282,False,doi
263,2972574,False,pmid
264,2972574,False,pmc
265,2972574,False,publisher-id
266,1196496,False,pmc
267,1196496,False,doi
268,1196496,False,publisher-id
269,4932613,False,pmid
270,4932613,False,pmc
271,4932613,False,publisher-id
272,4932613,False,doi
273,2440966,False,pmid
274,2440966,False,pmc
275,2440966,False,publisher-id
276,2440966,False,doi
277,3744526,False,pmid
278,3744526,False,pmc
279,3744526,False,publisher-id
280,3744526,False,doi
281,4954831,False,pmid
282,4954831,False,pmc
283,4954831,False,publisher-id
284,4954831,False,doi
285,5645649,True,pmid
286,5645649,True,pmc
287,5645649,True,publisher-id
288,5645649,True,doi
289,5336354,True,pmid
290,5336354,True,pmc
291,5336354,True,publisher-id
292,5336354,True,doi
293,4627185,False,pmid
294,4627185,False,pmc
295,4627185,False,publisher-id
296,4627185,False,doi
297,6132481,False,pmid
298,6132481,False,pmc
299,6132481,False,art-access-id
300,6132481,False,doi
301,3794985,False,pmid
302,3794985,False,pmc
303,3794985,False,doi
304,3794985,False,publisher-id
305,3244389,False,pmid
306,3244389,False,pmc
307,3244389,False,publisher-id
308,3244389,False,doi
309,3317236,False,pmid
310,3317236,False,pmc
311,3317236,False,pii
312,3317236,False,doi
313,3896759,False,pmid
314,3896759,False,pmc
315,3896759,False,pii
316,3896759,False,doi
317,6194273,True,pmid
318,6194273,True,pmc
319,6194273,True,doi
320,6194273,True,publisher-id
321,4613407,False,pmid
322,4613407,False,pmc
323,4613407,False,publisher-id
324,4613407,False,doi
325,5683482,False,pmid
326,5683482,False,pmc
327,5683482,False,publisher-id
328,5683482,False,doi
329,5683482,False,coden
330,5683482,False,pii
331,4992883,False,pmid
332,4992883,False,pmc
333,4992883,False,pii
334,4992883,False,doi
335,2670317,False,pmid
336,2670317,False,pmc
337,2670317,False,publisher-id
338,2670317,False,doi
339,3051902,False,pmid
340,3051902,False,pmc
341,3051902,False,publisher-id
342,3051902,False,doi
343,3054264,False,pmid
344,3054264,False,pmc
345,4489873,False,pmid
346,4489873,False,pmc
347,4489873,False,doi
348,4489873,False,publisher-id
349,2589648,False,pmid
350,2589648,False,pmc
351,5664299,False,pmid
352,5664299,False,pmc
353,5664299,False,publisher-id
354,5664299,False,doi
355,5359753,False,pmid
356,5359753,False,pmc
357,5359753,False,doi
358,4897613,False,pmid
359,4897613,False,pmc
360,4897613,False,pii
361,4897613,False,doi
362,5162298,False,pmid
363,5162298,False,pmc
364,5162298,False,pmc-scan
365,5305531,False,pmid
366,5305531,False,pmc
367,5305531,False,pmc-scan
368,3655046,False,pmid
369,3655046,False,pmc
370,3655046,False,publisher-id
371,3655046,False,doi
372,4898597,False,pmid
373,4898597,False,pmc
374,4898597,False,publisher-id
375,4898597,False,doi
376,6339764,False,pmid
377,6339764,False,pmc
378,6339764,False,doi
379,2559846,False,pmid
380,2559846,False,pmc
381,2559846,False,publisher-id
382,2559846,False,doi
383,4961437,False,pmid
384,4961437,False,pmc
385,4961437,False,doi
386,4961437,False,publisher-id
387,5229063,False,pmid
388,5229063,False,pmc
389,5229063,False,pmc-scan
390,3542005,False,pmid
391,3542005,False,pmc
392,3542005,False,publisher-id
393,3542005,False,doi
394,5279298,False,pmc
395,5279298,False,pmc-scan
396,4628608,False,pmid
397,4628608,False,pmc
398,4628608,False,publisher-id
399,4628608,False,doi
400,4897029,False,pmid
401,4897029,False,pmc
402,4897029,False,doi
403,4897029,False,publisher-id
404,5898348,False,pmid
405,5898348,False,pmc
406,5898348,False,publisher-id
407,5898348,False,doi
408,1764882,False,pmid
409,1764882,False,pmc
410,1764882,False,publisher-id
411,1764882,False,doi
412,2965904,True,pmid
413,2965904,True,pmc
414,2965904,True,publisher-id
415,2965904,True,doi
416,4759741,False,pmid
417,4759741,False,pmc
418,4759741,False,publisher-id
419,4759741,False,doi
420,4353912,False,pmid
421,4353912,False,pmc
422,4353912,False,doi
423,4353912,False,publisher-id
424,5353881,False,pmid
425,5353881,False,pmc
426,5353881,False,publisher-id
427,5353881,False,doi
428,5518595,False,pmid
429,5518595,False,pmc
430,5518595,False,publisher-id
431,5518595,False,doi
432,5299470,False,pmid
433,5299470,False,pmc
434,5299470,False,doi
435,5299470,False,publisher-id
436,5443927,False,pmid
437,5443927,False,pmc
438,5443927,False,publisher-id
439,5443927,False,doi
440,5401470,False,pmid
