,id,any_matches,keywords
0,5934950,False,Body mass index
1,5934950,False,energy cost of exercise
2,5934950,False,obese
3,5934950,False,treadmill
4,5934950,False,undernourished/weight
5,2964116,False,constraint based
6,2964116,False,hepatic
7,2964116,False,liver
8,2964116,False,metabolism
9,3371935,False,Leukemia
10,3371935,False,Children
11,3371935,False,Risk factors
12,3371935,False,Prenatal
13,3371935,False,Genetics
14,6250829,False,precision medicine
15,6250829,False,precision health
16,6250829,False,biomarkers
17,6250829,False,autoantibodies
18,6250829,False,autoimmunity
19,4468340,False,DNA damage response
20,4468340,False,ATM
21,4468340,False,H2AX
22,4468340,False,doxorubicin
23,4468340,False,PBMCs
24,5110345,False,obesity
25,5110345,False,back pain
26,5110345,False,lumbar spine
27,5110345,False,degenerative disk disease
28,5110345,False,transforaminal lumbar interbody fusion (TLIF)
29,5110345,False,minimally invasive
30,5110345,False,patient-reported outcomes
31,5666466,False,graphene quantum dots
32,5666466,False,hydrothermal
33,5666466,False,electrochemistry
34,5666466,False,glucose oxidase
35,5666466,False,biosensing
36,2874337,False,perinatal hypothyroidism
37,2874337,False,thyroidectomy
38,2874337,False,thyroid hormone
39,2874337,False,behavior
40,2874337,False,metabolism
41,3833192,False,faith-based settings
42,3833192,False,faith organizations
43,3833192,False,HIV-related stigma
44,3833192,False,African American church
45,3833192,False,church members
46,3833192,False,community members
47,3833192,False,HIV intervention
48,3833192,False,HIV testing
49,3833192,False,people living with HIV
50,5117085,False,Death
51,5117085,False,Swimming
52,5117085,False,Triathlon
53,5117085,False,Pulmonary
54,3076305,False,Radioprotector
55,3076305,False,Mitigators
56,3076305,False,Amifostine
57,3076305,False,Tempol
58,4994148,False,Aneurysms
59,4994148,False,endoscopy
60,4994148,False,internal carotid artery skull base
61,4994148,False,tumors
62,5259684,False,Cardiovascular System
63,5259684,False,Hemodynamics
64,5259684,False,Resistance Training
65,5259684,False,Vascular Occlusion
66,3271253,False,Asia
67,3271253,False,Dyspepsia
68,3271253,False,Health
69,3271253,False,Population
70,3271253,False,Quality-adjusted life years
71,4867163,False,Femur
72,4867163,False,Morphology
73,4867163,False,Total Knee Arthroplasty
74,4867163,False,Computed Tomography
75,4867163,False,Iranian
76,4468327,False,hsp90
77,4468327,False,oncogene addiction
78,4468327,False,resistance
79,4468327,False,G2/M arrest
80,4468327,False,apoptosis
81,6392415,False,Hyperkalaemia
82,6392415,False,Patiromer
83,6392415,False,Sodium zirconium cyclosilicate
84,6392415,False,Heart failure
85,6392415,False,Hypertension
86,6004594,False,Infertility
87,6004594,False,Assisted reproductive technology
88,6004594,False,Gonadotropins
89,6316841,False,PUFA
90,6316841,False,oils
91,6316841,False,body condition score
92,6316841,False,sheep milk composition
93,6316841,False,supplementation
94,6316841,False,canola
95,6316841,False,flaxseed
96,6316841,False,safflower
97,6316841,False,rice bran
98,3903371,False,tuberculosis
99,3903371,False,HIV
100,3903371,False,combination antiretroviral therapy
101,3903371,False,monocytes
102,3903371,False,lymphocytes
103,3903371,False,ML ratio
104,6102329,False,nanoparticles
105,6102329,False,nanomedicine
106,6102329,False,biodistribution
107,6102329,False,in vivo
108,6102329,False,imaging
109,6102329,False,techniques
110,6102329,False,advantages
111,6102329,False,limitations
112,6240963,False,Crimean Congo haemorrhagic fever
113,6240963,False,GI symptoms
114,6240963,False,Outbreak
115,6240963,False,Contact tracing
116,4600711,False,monitoring and evaluation
117,4600711,False,maternal
118,4600711,False,newborn and child health
119,4600711,False,lot quality assurance sampling
120,4600711,False,Nigeria
121,6028737,False,ionising radiation
122,6028737,False,radiobiology
123,6028737,False,environmental protection
124,6028737,False,DNA damage
125,6028737,False,oxidative stress
126,6028737,False,plant stress
127,4506785,False,blood pressure
128,4506785,False,community health services
129,4506785,False,hypertension
130,4506785,False,primary care
131,4506785,False,screening
132,4506785,False,self-evaluation
133,4506785,False,self-screening.
134,5332920,False,immune thrombocytopenia (ITP)
135,5332920,False,autoimmunity
136,5332920,False,T cells
137,5332920,False,B cells
138,5332920,False,platelets
139,5106554,False,"CT, computed tomography"
140,5106554,False,"MRI, magnetic resonance imaging"
141,5106554,False,"MDP, methylene disphosphonate"
142,5106554,False,"IV, intravenous"
143,5106554,False,"PTH, parathyroid hormone"
144,5106554,False,"SSBT, severely suppressed bone turnover"
145,6399451,False,tone processing
146,6399451,False,non-native speech perception
147,6399451,False,prosodic hierarchy
148,6399451,False,tone language diversity
149,6399451,False,non-tone languages
150,6020797,False,Adiponectin-associated locus
151,6020797,False,CDH13
152,6020797,False,Adiponectin
153,6020797,False,Left ventricular mass index
154,6020797,False,Sleep time
155,6020797,False,"LVM, Left ventricular mass"
156,6020797,False,"LVM index, Left ventricular mass index"
157,6020797,False,"LVH, Left ventricular hypertrophy"
158,6020797,False,"GWAS, Genome wide association study"
159,6020797,False,"MetS, Metabolic syndrome"
160,6020797,False,"T2D, Type 2 diabetes"
161,6020797,False,"CVD, Cardiovascular diseases"
162,6020797,False,"BMI, Body mass index"
163,6020797,False,"WC, Waist circumference"
164,6020797,False,"SBP, Systolic blood pressure"
165,6020797,False,"DBP, Diastolic blood pressure"
166,6020797,False,"FBG, Fasting blood glucose"
167,6020797,False,"LDL-C, Low density lipoprotein cholesterol"
168,6020797,False,"HDL-C, High density lipoprotein cholesterol"
169,6020797,False,"TG, Triglyceride"
170,6020797,False,"HOMA-IR, Homeostasis model assessment of insulin resistance"
171,6020797,False,"IVSDT, Interventricular septal diastolic thickness"
172,6020797,False,"LVEDD, Left ventricular end-diastolic diameter"
173,6020797,False,"LVPWT, Left ventricular posterior wall thickness"
174,6169096,True,Psoriasis
175,6169096,True,Palmoplantar pustulosis
176,6169096,True,Randomised controlled trial
177,6169096,True,Anakinra
178,6169096,True,Adaptive trial
179,6169096,True,Statistical analysis plan
180,3019363,False,Brain injury
181,3019363,False,explosion
182,3019363,False,intracranial foreign body
183,3019363,False,pipe bomb
184,3019363,False,transorbital
185,6165733,False,matched cohort study
186,6165733,False,survival analysis
187,6165733,False,population-based registry
188,6165733,False,observational study
189,4977594,False,"Renal insufficiency, chronic"
190,4977594,False,Inflammation
191,4977594,False,"Mice, transgenic"
192,4977594,False,"Models, animal"
193,4977594,False,Oxidative stress
194,4932613,False,Pneumatosis intestinalis
195,4932613,False,Hepatic portal venous gas
196,4932613,False,Conservative
197,4932613,False,Survival
198,4932613,False,Non-operative
199,4932613,False,Ischaemia
200,2440966,False,AMPT
201,2440966,False,Dopamine
202,2440966,False,[123I]IBZM
203,2440966,False,SPECT
204,2440966,False,SWN
205,4954831,False,HDACS
206,4954831,False,Platinum resistance
207,4954831,False,Ovarian cancer
208,4954831,False,Platinum
209,4954831,False,Chemotherapy
210,4954831,False,Molecular targeting
211,5645649,True,Abortion
212,5645649,True,termination of pregnancy
213,5645649,True,health care provider
214,5645649,True,South Africa
215,5336354,True,heat
216,5336354,True,temperature proxy
217,5336354,True,paleocence - eocene
218,5336354,True,Plankton
219,5336354,True,heat stress
220,5336354,True,dinoflagellate
221,5336354,True,PETM
222,5336354,True,SST
223,5336354,True,polar amplification
224,5336354,True,Tropics
225,4627185,False,FimH
226,4627185,False,in silico
227,4627185,False,MrpH
228,4627185,False,TLR4
229,4627185,False,urinary tract infection
230,3794985,False,infections
231,3794985,False,septic shock
232,3794985,False,typhoid sepsis
233,3794985,False,pulmonary tuberculosis
234,3794985,False,HIV/AIDS
235,3794985,False,public health
236,6194273,True,animal orientation
237,6194273,True,aviation lighting
238,6194273,True,bat migration
239,6194273,True,conservation
240,6194273,True,light pollution
241,6194273,True,phototaxis
242,6194273,True,wind turbines
243,4613407,False,Acute lung injury
244,4613407,False,aspiration
245,4613407,False,atelectasis
246,4613407,False,non-thoracic surgery
247,4613407,False,post-operative pneumonia
248,4613407,False,post-operative pulmonary complications
249,4613407,False,risk factors
250,5683482,False,crystal structure
251,5683482,False,thio­phene
252,5683482,False,benzo­thia­zole
253,5683482,False,microwave-assisted synthesis
254,5683482,False,solvent-free
255,5683482,False,whole-mol­ecule disorder
256,5359753,False,polyglutamine disease
257,5359753,False,Huntington's disease
258,5359753,False,C9orf72
259,5359753,False,amyotrophic lateral sclerosis (ALS)
260,5359753,False,frontotemporal dementia (FTD)
261,5359753,False,myotonic dystrophy
262,5359753,False,fragile X
263,5359753,False,spinocerebellar ataxia
264,3655046,False,Hospital rapid response team
265,3655046,False,Medical emergency team
266,3655046,False,Quality of life
267,3655046,False,EuroQol
268,3655046,False,General surgery
269,4898597,False,Mediastinal nodes
270,4898597,False,Lung cancer staging
271,4898597,False,PET reconstruction
272,4898597,False,Signal-to-noise
273,4898597,False,Bayesian
274,4898597,False,PET-CT
275,3542005,False,Anabolic androgenic steroid
276,3542005,False,Doping
277,3542005,False,Hair analysis
278,3542005,False,Urinalysis
279,3542005,False,Serum analysis
280,3542005,False,LC-MS/MS
281,4628608,False,Cancer survivors
282,4628608,False,Exercise interventions
283,4628608,False,India
284,4628608,False,Research
285,5898348,False,breast cancer
