,_id,length,n_geospans
0,3083404,41375,8
1,5005014,47897,37
2,5832760,25161,6
3,3231434,15334,1
4,6022700,43280,0
5,5874947,19164,27
6,4812528,61294,45
7,4607703,35026,5
8,2584063,18191,15
9,3890461,11646,7
10,4415768,30661,38
11,4191283,50842,206
12,4996631,28833,7
13,2488396,39496,4
14,3277434,52901,23
15,5575138,44528,3
16,3167860,39499,4
17,4731053,29853,13
18,4990241,43022,37
19,3945610,65128,9
20,6249329,32351,13
21,5656659,42884,29
22,4546277,30029,95
23,3835247,38338,3
24,5952523,46910,0
25,5636095,45821,1
26,6175279,44644,23
27,5011764,28994,12
28,2761779,47172,15
29,3216932,19434,17
30,4409409,19301,19
31,4183475,44389,47
32,4635406,13736,6
33,5897922,52317,11
34,3407111,31046,11
35,5766567,26592,43
36,4637859,36484,7
37,4501784,29860,26
38,6307996,27070,27
39,3543462,50533,67
40,3955600,20365,5
41,5309900,81991,165
42,4698456,25863,98
43,4671591,26510,29
44,6301289,34458,34
45,4676690,40843,29
46,3914028,30709,23
47,5496219,42225,15
48,3471635,19914,48
49,6175292,64375,14
50,3250406,32773,37
51,3364994,36551,35
52,6356669,25614,27
53,5075900,30969,8
54,2948002,35230,111
55,6370777,30894,23
56,2311384,39602,18
57,5756437,40307,37
58,4747541,44252,22
59,5253468,47552,20
60,5102406,49118,34
61,5773331,37714,22
62,6275175,38714,21
63,4894885,36864,11
64,3270857,57411,46
65,4079170,51651,23
66,3878832,35740,1
67,5853265,37907,32
68,3396313,26994,59
69,4342727,25890,68
70,6092377,18206,29
71,4454509,48182,21
72,3902193,35954,39
73,2583909,29501,8
74,4535858,33346,14
75,4138497,20157,8
76,5544785,31505,22
77,2134928,27447,7
78,5331184,48955,12
79,5130254,34425,101
80,3686182,35540,23
81,5875287,26259,79
82,5551272,26756,32
83,2873378,55527,153
84,5521105,27363,69
85,3652730,41010,16
86,3316996,64245,49
87,5004245,31712,37
88,5654967,43985,29
89,4574048,26409,36
90,4322094,37199,14
91,3290621,50889,110
92,6286336,22158,6
93,4270394,33490,19
94,3359306,24161,1
95,5108252,47193,20
96,5330866,22269,21
97,4444039,53582,184
98,4408085,41712,10
99,3666211,85534,115
100,5661007,58022,42
101,3475668,36320,4
102,5620589,31633,25
103,5901160,41209,99
104,3514241,47003,6
105,5395233,28318,14
106,4482603,37006,11
107,3908740,37807,6
108,6152973,26708,7
109,6286400,30874,54
110,4361784,18733,60
111,2988200,45244,81
112,5219665,25040,6
113,5064085,34040,20
114,5797562,50008,53
115,3861309,31756,14
116,2525495,35263,38
117,6083654,37891,4
118,3142343,23662,0
119,2652036,31858,18
120,6180657,34464,13
121,5608431,40125,11
122,3917470,36836,10
123,3988939,18561,94
124,3840006,46521,10
125,5209825,32581,95
126,4594118,39977,28
127,4728546,26354,33
128,5779060,30897,7
129,5944063,31246,60
130,4659694,17483,0
131,4378621,49239,103
132,5007034,37011,10
133,5291402,24589,13
134,2613372,33033,61
135,6282129,26646,24
136,4814105,32371,35
137,4391242,44505,38
138,3316559,24456,8
139,4821902,21963,15
140,4847182,36913,2
141,3371903,10448,10
142,2664370,30004,22
143,6163240,21095,31
144,6286424,38818,10
145,4370673,36003,12
146,3502411,31900,13
147,3248909,38523,14
148,6220944,22893,33
149,4351067,21779,18
150,2478712,26714,4
151,6333103,14156,47
152,4552953,29674,4
153,4320170,17869,6
154,3117762,29169,36
155,4997935,30144,36
156,5484486,42096,9
157,5678111,33144,7
158,5465222,39302,31
159,4213059,49484,24
160,5798980,28688,7
161,5580596,37030,32
162,3112139,15887,20
163,4055179,52020,145
164,4029273,24711,3
165,3466416,37182,11
166,4633114,28394,9
167,5154083,47057,11
168,4300606,41956,14
169,3024494,37991,37
170,5521817,40200,33
171,5044766,30040,30
172,3904763,46784,63
173,4159302,64880,20
174,5488649,23412,17
175,2954550,35747,8
176,3409063,79722,78
177,6215996,13499,10
178,4449111,28093,7
179,4053394,26561,7
180,2946295,36135,12
181,5884951,54391,31
182,5748277,32815,2
183,4183662,27750,15
184,5964969,26867,49
185,5749814,44400,32
186,4062391,33985,8
187,4392193,30076,7
188,1291389,27217,29
189,4093029,15029,3
190,3090373,30709,6
191,5800271,24432,7
192,3437153,11545,11
193,5014424,50694,4
194,6194273,33520,26
195,3989767,21811,17
196,5042534,46938,25
197,3095538,36472,137
198,3768625,19385,32
199,3950817,35905,95
200,3464145,26441,16
201,5319816,41542,38
202,6157665,59977,4
203,2873419,37622,64
204,3003635,27677,34
205,4938527,31633,38
206,4447464,46505,65
207,5797451,31885,50
208,5549756,28463,72
209,5107608,10402,11
210,3772094,29312,26
211,4253124,35409,28
212,3266221,26372,3
213,4227090,40280,45
214,6030179,66396,354
215,4216812,19477,7
216,6384327,62530,594
217,5884479,50399,15
218,4143818,20549,56
219,5967749,33911,15
220,3003275,22578,50
221,4546055,34731,22
222,6402368,24647,38
223,4509647,28716,34
224,5498513,24821,80
225,3378444,18329,46
226,5952115,35829,20
227,6171928,28369,8
228,2442074,54533,54
229,1896159,27989,26
230,2964600,10562,7
231,3193033,19273,25
232,2231342,27923,60
233,4165593,39559,7
234,4607851,63995,91
235,5759258,37750,35
236,3460928,40269,8
237,2838810,19448,18
238,5243192,34097,27
239,2998486,27935,71
240,3498328,23141,5
241,3490787,26193,11
242,4361141,38334,14
243,4079592,27107,55
244,4406756,40716,31
245,3118717,19815,12
246,2995800,25974,16
247,6231830,45290,36
248,1887535,22388,32
249,3858258,32094,34
250,4490652,35848,39
251,5426340,24081,15
252,4834321,26669,10
253,4382026,42944,61
